label,url,type
Staten Island Online Registration,https://pdf.dsnforms.com/dsn/patient_form.html?p=x1u1x6,external online form
Printable Registration,https://statenislandoralsurgery.us/wp-content/uploads/Patient-Information.pdf,PDF
Privacy Policy,https://statenislandoralsurgery.us/patient-privacy-policy/,site page
Receipt of Privacy Policy,https://statenislandoralsurgery.us/wp-content/uploads/Privacy-Practices-Patient-Acknowledgement.pdf,PDF
Photo Release Authorization,https://statenislandoralsurgery.us/wp-content/uploads/Authorization-to-Release-Photographs.pdf,PDF
Site Disclaimer,https://statenislandoralsurgery.us/sitedisclaimer/,site page
